,Raw,K-Best,mRMR,LASSO,RFE,LASSONet,GFS,SARLFS,MARLFS,MCDM,DGFS
RF,0.8332131314412013,0.8009633369227785,0.799169582066924,0.7805213331904627,0.8305552681827086,0.7793319918863613,0.8247539694740655,0.8514109702673508,0.8406816126464829,0.8183535310675178,0.8741031214602116
XGB,0.8421450408402332,0.8022713713073116,0.7883918103003807,0.7832117494367609,0.8277895986297604,0.801331697577871,0.8280773467229958,0.8378968933117047,0.8345949096276261,0.8086251930301991,0.8498100257384484
SVM,0.7756432597926464,0.7485382824966893,0.756329497464011,0.7589866921963557,0.7674855215299633,0.7338661413143862,0.7462187434331793,0.7402739512501207,0.7483753321504757,0.7566474057115853,0.774754162095493
KNN,0.8105832776728631,0.8038701844503645,0.8085345806636951,0.7611128012468583,0.7866148722624763,0.7499572994993613,0.8092425728122704,0.8101925350611978,0.8188734890525706,0.8076671649999716,0.832108709716246
DT,0.777849788252162,0.754158800803072,0.7410145613005074,0.7199454972686468,0.7715173444104924,0.7382935205792924,0.785798127850895,0.7810371347749839,0.7969192352893809,0.7499751554859432,0.8100433454556
